27.929787, -80.713530, altitude (ft): 15, sats: 12, UTC 20:31:57
27.929787, -80.713532, altitude (ft): 15, sats: 12, UTC 20:31:58
27.929788, -80.713532, altitude (ft): 15, sats: 12, UTC 20:31:59
27.929790, -80.713530, altitude (ft): 15, sats: 12, UTC 20:32:00
27.929790, -80.713528, altitude (ft): 15, sats: 12, UTC 20:32:10
27.929790, -80.713530, altitude (ft): 15, sats: 12, UTC 20:32:20
27.929793, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:30
27.929793, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:40
27.929792, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:50
27.929792, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:60
27.929790, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:70
27.929792, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:80
27.929793, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:90
27.929793, -80.713528, altitude (ft): 16, sats: 12, UTC 20:32:10
27.929790, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:11
27.929790, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:12
27.929792, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:13
27.929793, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:14
27.929793, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:15
27.929790, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:16
27.929788, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:17
27.929790, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:18
27.929792, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:19
27.929793, -80.713537, altitude (ft): 16, sats: 12, UTC 20:32:20
27.929793, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:21
27.929790, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:22
27.929787, -80.713532, altitude (ft): 16, sats: 12, UTC 20:32:23
27.929785, -80.713535, altitude (ft): 16, sats: 12, UTC 20:32:24
27.929782, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:25
27.929780, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:26
27.929778, -80.713530, altitude (ft): 16, sats: 12, UTC 20:32:27
27.929777, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:28
27.929778, -80.713535, altitude (ft): 16, sats: 12, UTC 20:32:29
27.929783, -80.713533, altitude (ft): 16, sats: 12, UTC 20:32:30
27.929787, -80.713535, altitude (ft): 15, sats: 12, UTC 20:32:31
27.929785, -80.713537, altitude (ft): 15, sats: 12, UTC 20:32:32
27.929782, -80.713533, altitude (ft): 15, sats: 12, UTC 20:32:33
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:32:34
27.929782, -80.713533, altitude (ft): 14, sats: 12, UTC 20:32:35
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:32:36
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:32:37
27.929782, -80.713532, altitude (ft): 14, sats: 12, UTC 20:32:38
27.929778, -80.713528, altitude (ft): 14, sats: 12, UTC 20:32:39
27.929780, -80.713527, altitude (ft): 14, sats: 12, UTC 20:32:40
27.929783, -80.713528, altitude (ft): 14, sats: 12, UTC 20:32:41
27.929783, -80.713530, altitude (ft): 14, sats: 12, UTC 20:32:42
27.929783, -80.713527, altitude (ft): 14, sats: 12, UTC 20:32:43
27.929783, -80.713527, altitude (ft): 14, sats: 12, UTC 20:32:44
27.929780, -80.713530, altitude (ft): 14, sats: 12, UTC 20:32:45
27.929778, -80.713530, altitude (ft): 13, sats: 12, UTC 20:32:46
27.929778, -80.713527, altitude (ft): 13, sats: 12, UTC 20:32:47
27.929778, -80.713527, altitude (ft): 13, sats: 12, UTC 20:32:48
27.929777, -80.713532, altitude (ft): 13, sats: 12, UTC 20:32:49
27.929777, -80.713528, altitude (ft): 13, sats: 12, UTC 20:32:50
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:32:51
27.929773, -80.713528, altitude (ft): 13, sats: 12, UTC 20:32:52
27.929773, -80.713532, altitude (ft): 13, sats: 12, UTC 20:32:53
27.929773, -80.713527, altitude (ft): 13, sats: 12, UTC 20:32:54
27.929773, -80.713527, altitude (ft): 13, sats: 12, UTC 20:32:55
27.929775, -80.713530, altitude (ft): 13, sats: 12, UTC 20:32:56
27.929773, -80.713527, altitude (ft): 13, sats: 12, UTC 20:32:57
27.929772, -80.713525, altitude (ft): 12, sats: 12, UTC 20:32:58
27.929775, -80.713523, altitude (ft): 13, sats: 12, UTC 20:32:59
27.929775, -80.713522, altitude (ft): 13, sats: 12, UTC 20:33:00
27.929775, -80.713518, altitude (ft): 13, sats: 12, UTC 20:33:10
27.929773, -80.713523, altitude (ft): 13, sats: 12, UTC 20:33:20
27.929770, -80.713530, altitude (ft): 13, sats: 12, UTC 20:33:30
27.929767, -80.713525, altitude (ft): 14, sats: 12, UTC 20:33:40
27.929767, -80.713515, altitude (ft): 13, sats: 12, UTC 20:33:50
27.929767, -80.713520, altitude (ft): 13, sats: 12, UTC 20:33:60
27.929765, -80.713528, altitude (ft): 13, sats: 12, UTC 20:33:70
27.929763, -80.713527, altitude (ft): 13, sats: 12, UTC 20:33:80
27.929762, -80.713518, altitude (ft): 13, sats: 12, UTC 20:33:90
27.929762, -80.713520, altitude (ft): 12, sats: 12, UTC 20:33:10
27.929762, -80.713523, altitude (ft): 12, sats: 12, UTC 20:33:11
27.929763, -80.713522, altitude (ft): 12, sats: 12, UTC 20:33:12
27.929762, -80.713522, altitude (ft): 12, sats: 12, UTC 20:33:13
